E R G B 
328992 83686 193761 218147 
346427 83814 176819 138206 
383852 82876 164020 104674 
421277 82214 155765 87109 
458702 81815 150601 78094 
496128 81539 147276 72297 
533553 81379 145121 68568 
570978 81183 143416 66354 
608403 81255 142142 64818 
645828 80996 141864 63796 
683253 81116 141301 63058 
720678 81080 141046 62549 
758104 81064 140761 62210 
795529 81055 140667 61997 
832954 81035 140527 61766 
870379 81020 140277 61631 
907804 81061 140258 61479 
945229 81012 140226 61381 
982654 81025 140154 61236 
1020080 81025 140007 61234 
1057505 81044 140136 61177 
1094930 81054 140028 61090 
1132355 81012 139937 61082 
1169780 80979 139798 60946 
1207205 81036 139764 60908 
1244631 81018 139746 60796 
1282056 81034 139734 60700 
1319481 81020 139683 60632 
1356906 81004 139626 60566 
1394331 80996 139523 60520 
1431756 80989 139524 60485 
1469181 81035 139564 60430 
1506607 81017 139419 60343 
1544032 80996 139372 60209 
1581457 80985 139344 60225 
1618882 81032 139396 60157 
1656307 81012 139257 60114 
1693732 80976 139251 60055 
1731158 81008 139237 59957 
1768583 80990 139167 59897 
1806008 81016 139084 59811 
1843433 80982 139022 59722 
1880858 81010 138925 59630 
1918283 81000 138773 59534 
1955708 80967 138837 59447 
1993134 80937 138816 59362 
2030559 80976 138827 59425 
2067984 80976 138783 59374 
2105409 80996 138771 59303 
2142834 80964 138597 59251 
2180259 80963 138649 59215 
2217684 80975 138594 59113 
2255110 80985 138477 58979 
2292535 80939 138345 58905 
2329960 80955 138344 58835 
2367385 80942 138265 58788 
2404810 80889 138308 58753 
2442235 80921 138343 58710 
2479661 80942 138263 58701 
2517086 80938 138199 58550 
