E R G B 
175276 85967 201356 226132 
192710 81583 138360 57451 
210147 80948 131495 49267 
227584 80683 128585 46172 
245020 80256 126812 44748 
262457 80470 126770 44282 
279894 80414 126439 44029 
297330 80349 126262 43870 
314767 80332 126159 43771 
332204 80337 126025 43665 
349640 80306 125973 43561 
367077 80213 125900 43480 
384514 80258 125717 43436 
401950 80248 125679 43320 
419387 80245 125615 43293 
436824 80219 125515 43232 
454260 80192 125446 43160 
471697 80204 125348 43066 
489134 80201 125286 43002 
506570 80118 125165 42892 
524007 80146 125065 42763 
541444 80141 124970 42600 
558880 80082 124724 42513 
576317 80141 124758 42379 
593754 80084 124676 42269 
611190 80089 124582 42203 
628627 80094 124482 42099 
646064 80058 124404 42023 
663500 80083 124314 41952 
680937 80025 124203 41850 
698374 80027 124123 41774 
715810 80032 124035 41682 
733247 79978 123972 41606 
750684 80024 123890 41511 
768120 80014 123805 41442 
785557 79999 123719 41342 
802994 79973 123605 41282 
820430 79999 123568 41182 
837867 79985 123457 41096 
855304 79993 123413 41026 
872740 79978 123306 40949 
890177 79993 123177 40866 
907614 79960 123170 40795 
925050 79968 123089 40712 
942487 79964 122997 40638 
959924 79936 122915 40550 
977360 79930 122828 40483 
994797 79915 122765 40385 
1012234 79899 122642 40310 
1029670 79897 122581 40224 
1047107 79901 122452 40144 
1064544 79889 122371 40069 
1081980 79901 122294 39974 
1099417 79857 122244 39910 
1116854 79869 122159 39833 
1134290 79872 122087 39763 
1151727 79857 122024 39680 
1169164 79856 121940 39597 
1186600 79847 121865 39506 
1204037 79847 121799 39429 

