E R G B UV 
2593323 438094 394108 393885 291 
2613544 429943 98797 290659 247 
2643763 434743 111225 297467 247 
2673981 435269 119529 302428 250 
2704199 435149 127804 306799 259 
2734417 435581 135520 311788 250 
2764636 435297 146152 316405 250 
2794854 435784 155167 320802 252 
2825072 436295 163903 324846 255 
2855290 436107 172351 328684 258 
2885509 436723 180944 331856 260 
2915727 436709 189235 335493 270 
2945945 436886 197614 338940 268 
2976163 436834 205462 341779 269 
3006382 436931 213146 344471 268 
3036600 437009 220652 346741 265 
3066818 437316 227835 349411 264 
3097036 437516 234745 351846 268 
3127255 437133 241680 353924 273 
3157473 437675 248319 356104 270 
3187691 437509 254469 358032 280 
3217909 437317 260799 359961 280 
3248128 437666 266689 361810 279 
3278346 437915 272226 363292 278 
3308564 438055 277598 364774 277 
3338782 438122 282782 366231 279 
3369000 438107 287635 367531 280 
3399219 437965 292219 368968 289 
3429437 438117 296701 370162 290 
3459655 438180 300883 371377 286 
3489873 438187 304516 372248 284 
3520092 438095 308511 373441 289 
3550310 438075 312229 374110 296 
3580528 437634 315571 374915 300 
3610746 438100 318435 375492 299 
3640965 437879 321758 376235 299 
3671183 438557 325011 377211 299 
3701401 438675 327731 378176 298 
3731619 438422 330261 378931 298 
3761838 438690 332692 379372 298 
3792056 438644 334905 380011 292 
3822274 438817 337051 380497 298 
3852492 438651 339029 380957 292 
3882711 438572 340942 381134 293 
3912929 438439 342720 381816 289 
3943147 438636 344302 382303 291 
3973365 438645 345901 381952 293 
4003584 438577 347442 382827 296 

