E G 
4419493 396043 
4432803 89951 
4456108 93046 
4479412 95711 
4502716 98302 
4526020 100935 
4549324 103506 
4572628 106037 
4595933 108518 
4619237 111228 
4642541 113809 
4665845 115972 
4689149 118301 
4712454 120859 
4735758 123477 
4759062 126121 
4782366 128857 
4805670 131671 
4828975 134317 
4852279 136773 
4875583 138933 
4898887 141403 
4922191 144047 
4945496 146621 
4968800 149197 
4992104 151812 
5015408 154375 
5038712 156747 
5062017 159366 
5085321 161733 
5108625 163474 
5131929 165930 
5155233 168357 
5178537 170719 
5201842 173108 
5225146 175566 
5248450 177730 
5271754 179723 
5295058 181736 
5318363 183811 
5341667 185854 
5364971 187610 
5388275 189881 
5411579 192077 
5434884 193836 
5458188 195269 
5481492 197808 
5504796 199788 
5528100 201625 
5551405 203869 
5574709 205756 
5598013 207283 
5621317 209056 
5644621 211132 
5667926 213004 
5691230 214794 
5714534 216073 
5737838 217728 
5761142 218901 
5784446 220946 
5807751 222637 
5831055 224220 
5854359 225561 
5877663 227203 
5900967 228323 
5924272 230016 
5947576 231249 
5970880 232438 
5994184 233654 
6017488 234875 
6040793 236120 
6064097 237968 
6087401 238900 
6110705 239945 
6134009 241410 
6157314 243039 
6180618 244293 
6203922 244595 
6227226 246169 
6250530 247477 
6273835 249163 
6297139 250182 
6320443 250867 
6343747 251658 
6367051 252326 
6390355 253903 
6413660 254031 
6436964 255148 
6460268 256168 
6483572 257094 
6506876 258122 
6530181 258858 
6553485 261051 
6576789 261127 
6600093 262062 
6623397 262534 
6646702 262979 
6670006 263723 
6693310 264348 
6716614 265570 
6739918 265934 
6763223 266900 
6786527 267612 
6809831 268684 
6833135 269107 
6856439 269287 
6879744 269729 
6903048 272475 
6926352 271748 
6949656 272268 
6972960 272880 
6996264 273012 
7019569 274654 
7042873 277102 
7066177 278117 
7089481 277324 
7112785 277767 
7136090 278257 
7159394 277865 
7182698 278583 

