sp6
E R G B T 
59453040 284665 365248 341814 198 
59473258 278933 268768 315715 92 
59543453 278741 276210 316384 605 
59613648 279711 281656 318606 101 
59683844 279251 287084 319364 550 
59754039 279761 291691 321154 199 
59824234 278971 296948 321194 460 
59894429 279762 299184 322954 211 
59964624 279933 305748 324057 453 
60034820 280620 308468 325473 259 
60105015 279958 312209 326169 379 
60175210 280618 314189 326452 328 
60245405 280621 318284 327393 328 
60315600 281450 320773 328839 328 
60385796 280829 323885 328195 321 
60455991 281383 326082 330128 440 
60526186 281193 328687 331245 209 
60596381 282902 332235 332391 535 
60666576 282641 333359 333223 88 
60736772 281737 333903 332669 604 
60806967 282118 335805 333428 -7 
60877162 282058 338591 333729 580 
60947357 281250 340269 334767 -29 
61017552 282790 341524 334979 590 
61087748 283437 343309 336415 -30 
61157943 283844 344899 336064 645 
61228138 283875 345771 337126 -30 
61298333 283971 347243 336580 605 
61368528 283823 347164 337571 -30 
61438724 283976 349176 337682 561 
61508919 284331 348994 338382 -30 
61579114 283954 350930 338400 550 
61649309 284651 351129 338856 -30 
61719504 283999 352312 338445 564 
61789700 284533 352608 339482 -30 
61859895 284137 354387 338909 562 
61930090 284562 353561 339196 -30 
62000285 284077 355232 338534 553 
62070480 284544 354586 339818 -30 
62140676 284286 355998 339594 573 
62210871 284720 355744 339976 -30 
62281066 284216 356947 339537 648 
62351261 285093 356910 340437 -30 
62421456 284675 358587 340222 551 
62491652 284636 357276 340181 -30 
62561847 284636 358716 340240 629 
62632042 285444 358618 341135 -30 
62702237 284719 359554 340468 588 
