E R G B T 
9274320 311916 372712 422664 3927 
9292247 301785 67759 273661 3926 
9310173 302541 74946 281919 3924 
9328099 304163 82434 289135 3920 
9346025 305161 90430 296419 3918 
9363951 305574 98379 301690 3917 
9381877 305635 106754 308250 3917 
9399803 305734 114737 313812 3916 
9417730 305528 122826 317889 3913 
9435656 306756 131224 323655 3914 
9453582 306302 139480 328244 3915 
9471508 306773 148010 332735 3915 
9489434 307036 155618 336537 3915 
9507360 307109 163563 340235 3914 
9525286 306925 171008 343748 3914 
9543213 307785 178138 346768 3913 
9561139 307306 184862 350208 3913 
9579065 308214 190872 352314 3912 
9596991 306624 196507 354753 3914 
9614917 308285 203258 358475 3912 
9632843 307058 208200 358690 3914 
9650769 307354 213507 361541 3915 
9668696 306736 218314 363389 3916 
9686622 306760 221995 364951 3916 
9704548 307482 226223 366509 3917 
9722474 308065 230761 369083 3915 
9740400 308955 235277 370912 3915 
9758326 308724 238057 372020 3917 
9776252 310114 241118 374011 3919 
9794179 310251 244143 374374 3919 
9812105 309337 246953 375432 3920 
9830031 310133 249270 376232 3921 
9847957 309425 250587 376123 3921 
9865883 310394 253502 377396 3923 
9883809 310356 253680 376935 3923 
9901735 309205 255949 377431 3924 
9919662 310081 258185 379224 3926 
9937588 308985 258867 379137 3927 
9955514 309994 260401 379260 3928 
9973440 309726 261049 380394 3931 
9991366 310399 261936 380515 3931 
10009292 309572 263250 381636 3931 
10027218 310424 264222 382018 3932 
10045145 310772 265239 382620 3934 
10063071 310136 265750 380970 3935 
10080997 309850 265953 381509 3935 
10098923 309117 266563 381447 3937 
10116849 308434 267008 381886 3939 
