E R G B T 
2243835 318248 353553 346441 2489 
2261762 309599 109276 269313 2495 
2289682 310040 115957 272963 2493 
2317602 309786 122667 272677 2495 
2345523 310310 129283 279129 2496 
2373443 310282 136237 283048 2497 
2401363 310450 143158 286450 2496 
2429284 310825 149500 289357 2496 
2457204 310352 155677 291978 2495 
2485125 309549 162133 294515 2495 
2513045 310995 169107 296831 2496 
2540965 311462 175276 299188 2494 
2568886 311282 181185 301804 2494 
2596806 311450 187234 303689 2493 
2624727 311555 192798 305777 2494 
2652647 311705 198004 307359 2494 
2680567 311694 202971 309065 2492 
2708488 311700 208539 311194 2492 
2736408 311675 213418 312646 2491 
2764328 311792 218274 314239 2491 
2792249 311915 222752 315807 2492 
2820169 312000 227115 317188 2490 
2848090 312164 231240 317508 2488 
2876010 312139 235261 319445 2488 
2903930 312429 239055 320486 2489 
2931851 312167 242696 321667 2488 
2959771 312261 246142 322609 2487 
2987692 312298 249383 323589 2488 
3015612 312371 252682 324693 2485 
3043532 312535 255618 325418 2487 
3071453 312486 258411 326152 2485 
3099373 312466 260990 327016 2485 
3127293 311928 263331 327521 2486 
3155214 312562 266033 328207 2483 
3183134 312612 268295 328964 2482 
3211055 312558 270406 329509 2482 
3238975 312694 272633 330088 2482 
3266895 312615 274568 330386 2482 
3294816 312878 276361 330894 2482 
3322736 312785 277935 331478 2480 
3350657 312770 279551 331773 2481 
3378577 312676 280942 332268 2479 
3406497 312813 282617 332262 2479 
3434418 312742 283802 332752 2480 
3462338 312766 285243 332940 2477 
3490258 312788 286448 333432 2479 
3518179 312860 287588 333782 2477 
3546099 312922 288845 334197 2476 
