E T 
103272 1760 
114288 1774 
145293 1808 
176297 1852 
207302 1908 
238307 1939 
269312 1946 
300316 1946 
331321 1936 
362326 1933 
393330 1922 
424335 1912 
455340 1905 
486344 1896 
517349 1886 
548354 1878 
579358 1869 
610363 1857 
641368 1852 
672372 1841 
703377 1836 
734382 1828 
765386 1819 
796391 1811 
827396 1804 
858400 1801 
889405 1823 
920410 1850 
951414 1879 
982419 1891 
1013424 1899 
1044428 1899 
1075433 1896 
1106438 1894 
1137442 1887 
1168447 1882 
1199452 1876 
1230456 1868 
1261461 1861 
1292466 1855 
1323470 1850 
1354475 1842 
1385480 1837 
1416484 1830 
1447489 1822 
1478494 1815 
1509498 1810 
1540503 1804 
1571508 1796 
1602512 1792 
1633517 1784 
1664522 1780 
1695526 1774 
1726531 1768 
1757536 1763 
1788540 1758 
1819545 1751 
1850550 1745 
1881554 1739 
1912559 1733 
1943564 1730 
1974568 1727 
2005573 1724 
2036578 1717 
2067582 1713 
2098587 1707 
2129592 1705 
2160596 1699 
2191601 1695 
2222606 1690 
2253611 1685 
2284615 1682 
2315620 1677 
2346625 1673 
2377629 1669 
2408634 1662 
2439639 1659 
2470643 1656 
2501648 1649 
2532653 1646 
2563657 1642 
2594662 1639 
2625667 1633 
2656671 1630 
2687676 1626 
2718681 1623 
2749685 1619 
2780690 1613 
2811695 1613 
2842699 1608 
2873704 1604 
2904709 1600 
2935713 1596 
2966718 1594 
2997723 1589 
3028727 1584 
3059732 1582 
3090737 1577 
3121741 1574 
3152746 1572 
3183751 1567 
3214755 1565 
3245760 1560 
3276765 1558 
3307769 1554 
3338774 1552 
3369779 1547 
3400783 1544 
3431788 1540 
3462793 1537 
3493797 1535 
3524802 1530 
3555807 1529 
3586811 1524 
3617816 1522 
3648821 1519 
3679825 1516 
3710830 1515 
3741835 1511 
3772839 1510 
3999983 1563 
4011003 1570 
4042008 1580 
4073013 1585 
4104017 1585 
4135022 1584 
4166027 1583 
4197031 1578 
4228036 1576 
4259041 1573 
4290045 1565 
4321050 1564 
4352055 1561 
4383059 1557 
4414064 1554 
4445069 1552 
4476073 1546 
4507078 1545 
4538083 1541 
4569088 1535 
4600092 1533 
4631097 1529 
4662102 1524 
4693106 1523 
4724111 1520 
4755116 1516 
4786120 1513 
4817125 1512 
4848130 1508 
4879134 1505 
4910139 1506 
4941144 1505 
4972148 1504 
5003153 1503 
5034158 1501 
5065162 1500 
5096167 1498 
5127172 1496 
5158176 1495 
5189181 1491 
5220186 1490 
5251190 1488 
5282195 1484 
5313200 1483 
5344204 1481 
5375209 1479 
5406214 1479 
5437218 1475 
5468223 1475 
5499228 1472 
5530232 1471 
5561237 1469 
5592242 1468 
5623246 1465 
5654251 1464 
5685256 1461 
5716260 1461 
5747265 1458 
5778270 1458 
5809274 1457 
5840279 1455 
5871284 1453 
5902288 1452 
5933293 1449 
5964298 1449 
5995302 1447 
6026307 1445 
6057312 1445 
6088316 1442 
6119321 1441 
6150326 1438 
6181330 1439 
6212335 1438 
6243340 1438 
6274344 1435 
6305349 1434 
6336354 1434 
6367358 1433 
