E T 
295577 3161 
316588 3157 
347592 3149 
378597 3144 
409602 3152 
440606 3164 
471611 3179 
502616 3194 
533620 3212 
564625 3229 
595630 3248 
626634 3267 
657639 3282 
688644 3299 
719648 3316 
750653 3333 
781658 3348 
812662 3363 
843667 3380 
874672 3397 
905676 3412 
936681 3425 
967686 3442 
998690 3454 
1029695 3469 
1060700 3485 
1091704 3487 
1122709 3475 
1153714 3464 
1184718 3462 
1215723 3467 
1246728 3476 
1277732 3487 
1308737 3500 
1339742 3511 
1370746 3524 
1401751 3535 
1432756 3549 
1463760 3560 
1494765 3573 
1525770 3586 
1556774 3599 
1587779 3611 
1618784 3622 
1649788 3632 
1680793 3644 
1711798 3656 
1742802 3666 
1773807 3675 
1804812 3686 
1835816 3698 
1866821 3706 
1897826 3714 
1928830 3723 
1959835 3731 
1990840 3741 
2021844 3748 
2052849 3756 
2083854 3763 
2114859 3770 
2145863 3780 
2176868 3788 
2207873 3794 
2238877 3799 
2269882 3806 
2300887 3815 
2331891 3820 
2362896 3827 
2393901 3830 
2424905 3838 
2455910 3842 
2486915 3850 
2517919 3856 
2548924 3860 
2579929 3865 
2610933 3870 
2641938 3876 
2672943 3882 
2703947 3888 
2734952 3889 
2765957 3895 
2796961 3899 
2827966 3905 
2858971 3908 
2889975 3912 
2920980 3916 
2951985 3922 
2982989 3923 
3013994 3928 
3044999 3932 
3076003 3934 
3107008 3939 
3138013 3942 
3169017 3946 
3200022 3949 
3231027 3954 
3262031 3956 
3293036 3958 
3324041 3961 
3355045 3963 
3386050 3967 
3417055 3970 
3448059 3973 
3479064 3975 
3510069 3976 
3541073 3981 
3572078 3982 
3603083 3987 
3634087 3987 
3665092 3992 
3696097 3993 
3727101 3992 
3758106 3997 
3789111 3999 
3820115 4001 
3851120 4004 
3882125 4003 
3913129 4006 
3944134 4007 
3975139 4010 
4182802 3962 
4203816 3959 
4234821 3957 
4265826 3958 
4296830 3959 
4327835 3959 
4358840 3963 
4389844 3965 
4420849 3968 
4451854 3971 
4482859 3973 
4513863 3975 
4544868 3978 
4575873 3981 
4606877 3984 
4637882 3987 
4668887 3989 
4699891 3990 
4730896 3995 
4761901 3997 
4792905 3999 
4823910 4002 
4854915 4003 
4885919 4005 
4916924 4007 
4947929 4009 
4978933 4010 
5009938 4012 
5040943 4013 
5071947 4013 
5102952 4008 
5133957 3989 
5164961 3970 
5195966 3961 
5226971 3955 
5257975 3955 
5288980 3953 
5319985 3955 
5350989 3954 
5381994 3956 
5412999 3956 
5444003 3958 
5475008 3961 
5506013 3964 
5537017 3965 
5568022 3968 
5599027 3971 
5630031 3972 
5661036 3976 
5692041 3977 
5723045 3982 
5754050 3986 
5785055 3986 
5816059 3986 
5847064 3991 
5878069 3993 
5909073 3994 
5940078 3995 
5971083 3998 
6002087 3999 
6033092 4001 
6064097 4003 
6095101 4005 
6126106 4007 
6157111 4009 
6188115 4011 
6219120 4012 
6250125 4014 
6281129 4016 
6312134 4018 
6343139 4018 
6374144 4019 
6405148 4022 
6436153 4023 
6467158 4027 
6498162 4027 
6529167 4028 
6560172 4028 
6591176 4032 
6622181 4033 
6653186 4034 
6684190 4034 
6715195 4036 
6746200 4038 
6777204 4037 
6808209 4039 
6839214 4040 
6870218 4042 
6901223 4041 
