E R G B UV 
1466384 390598 403864 387221 540 
1486604 385292 145995 308308 453 
1516822 385942 161005 315467 448 
1547040 386447 175436 321779 447 
1577259 386711 189150 327192 442 
1607477 386876 202424 332239 444 
1637695 387218 214993 336827 464 
1667913 386931 226545 341196 463 
1698131 387679 239343 345243 455 
1728350 387811 250636 348828 465 
1758568 387825 261248 352014 461 
1788786 387597 271302 354724 468 
1819004 387261 280804 357659 469 
1849223 388197 289585 360240 466 
1879441 388368 297695 362460 466 
1909659 388278 305360 364403 468 
1939877 388565 312370 366274 467 
1970096 388307 319000 367718 481 
2000314 388564 325086 369466 473 
2030532 388685 330661 370766 479 
2060750 388933 335985 372162 479 
2090969 388951 340734 373153 489 
2121187 388941 345052 374027 487 
2151405 388951 349169 375340 484 
2181623 389003 352800 376150 486 
2211842 388993 356197 377039 490 
2242060 389053 359248 377624 486 
2272278 389074 362040 378250 476 
2302496 389102 364765 378839 494 
2332715 389101 367169 379476 485 
2362933 389085 369310 379938 489 
2393151 389102 371287 380410 501 
2423369 389207 373184 380624 497 
2453587 389021 374898 381098 501 
2483806 389223 375899 381489 497 
2514024 389412 377525 381752 498 
2544242 389141 378936 382012 500 
2574460 389338 380044 382282 482 
2604679 389179 380955 382387 491 
2634897 389218 381899 382756 495 
2665115 389147 382810 382874 496 
2695333 389164 383471 383076 492 
2725552 389218 384231 383141 493 
2755770 389236 384830 383210 493 
2785988 389266 385419 383453 491 
2816206 389154 385952 383629 494 
2846425 389315 386480 383625 483 
2876643 389180 386907 383705 491
