Part,Value,Device,Package,Description,ELECROW,LCSC,MF,MPN,OC_FARNELL,OC_NEWARK
C1,18pF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C1797,C1797,,77-VJ1206A180JXXPBC,,
C10,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
C11,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
C12,10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C15850,C15850,,77-VJ1206V106ZXQTBC,,
C13,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
C2,18pF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C1797,C1797,,77-VJ1206A180JXXPBC,,
C3,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
C4,10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C15850,C15850,,77-VJ1206V106ZXQTBC,,
C5,10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C15850,C15850,,77-VJ1206V106ZXQTBC,,
C6,10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C15850,C15850,,77-VJ1206V106ZXQTBC,,
C7,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
C8,10u,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C15850,C15850,,77-VJ1206V106ZXQTBC,,
C9,100nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol",C49678,C49678,,80-C1206C104K5R,,
D1,Schottky,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER,,C82544,,621-1N5819HW-F,,
D2,Schottky,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER,,C82544,,621-1N5819HW-F,,
D3,Schottky,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER,,C82544,,621-1N5819HW-F,,
IC1,32U4,ATMEGA32U4-AU,TQFP44,http://www.ladyada.net/library/eagle,,C44854,,556-ATMEGA32U4RC-AU,,
IC2,MCP73831T,MCP73831/2,SOT23-5,MCP73831/2 LIPO Charger,,C14879,,579-MCP73831T-3ACIOT,,
IC3,MCP1703-33-CB,MCP1703CB,SOT23,"250 mA, 16V, Low Quiescent Current LDO Regulator",,C53352,,,,
IC4,DMP1045U,TRANSISTOR_FET_TSM2301CX,SOT-23,20V P-Channel Enhancement Mode MOSFET,,C110499,,621-DMP1045U-7,,
R1,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17414,C17414,,,,
R10,0,R-EU_R0805,R0805,"RESISTOR, European symbol",C17477,C17477,,,,
R11,100k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17407,C17407,,RC1206FR-07100KL,,
R12,1M,R-EU_R0805,R0805,"RESISTOR, European symbol",C17514,C17514,,,,
R13,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17414,C17414,,,,
R14,100,R-EU_R0805,R0805,"RESISTOR, European symbol",C17408,C17408,,,,
R15,100k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17407,C17407,,RC1206FR-07100KL,,
R16,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17414,C17414,,,,
R17,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17414,C17414,,,,
R18,1M,R-EU_R0805,R0805,"RESISTOR, European symbol",C17514,C17514,,,,
R19,1M,R-EU_R0805,R0805,"RESISTOR, European symbol",C17514,C17514,,,,
R2,100,R-EU_R0805,R0805,"RESISTOR, European symbol",C17408,C17408,,,,
R20,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17513,C17513,,,,
R3,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17414,C17414,,,,
R4,22,R-EU_R0805,R0805,"RESISTOR, European symbol",C17561,C17561,,,,
R5,22,R-EU_R0805,R0805,"RESISTOR, European symbol",C17561,C17561,,,,
R6,22,R-EU_R0805,R0805,"RESISTOR, European symbol",C17561,C17561,,667-ERJ-8GEYJ101V,,
R7,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17513,C17513,,,,
R8,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17513,C17513,,,,
R9,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",C17513,C17513,,,,
U1,NCT75DMR2G,TMP75DGK,MSOP8,,,C94387,,,,
X1,8MHz,XTALNX6035,NX6035,"Low cost SMT crystals, no capacitors included",,C122522,,729-F60800010,,
X2,MINI-USB,MINI-USB-SCHIELD-32005-201,32005-201,MINI USB-B Conector,,C46391,,649-10033526-N3212LF,,
Z1,VARISTOR,VARISTORCN0603,CT/CN0603,VARISTOR,,C126845,,,,
Z2,VARISTOR,VARISTORCN0603,CT/CN0603,VARISTOR,,C126845,,,,
